項番,日付,バージョン,改訂内容,担当者
1,2017/12/03,0.0.1,新規作成,Saburo Takahashi
2,2017/12/04,0.0.2,誤記修正・FAQ「利用可能なゲストOSは？」追記,Saburo Takahashi
3,2017/12/05,0.0.3,誤記修正・章節番号の見直し,Saburo Takahashi
4,2017/12/06,0.0.4,rtmdocker.py返り値の追加,Saburo Takahashi
5,2017/12/11,0.0.5,rtmdocker_cleaner.pyを追加,Saburo Takahashi
6,2017/12/12,0.0.6,デバイス共有時のスクリーンショットを追加,Saburo Takahashi
7,2017/12/14,0.0.7,FAQ「自分で作成したコンテナを配布したい」を追加,Saburo Takahashi
8,2017/12/15,0.0.8,応用例「Choreonoid用OpenRTM連携プラグイン Python版」を追加,Saburo Takahashi
9,2017/12/19,1.0.0,オプションリスト最新版に更新・バージョンを1.0.0に更新,Saburo Takahashi
10,2017/12/28,1.0.1,pipインストールに対応,Saburo Takahashi
